level_0,index,Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
27,66,21235485,/m/05bzp6g,Mesmerized,1986-12-31,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03q4nz"": ""World cinema"", ""/m/09blyk"": ""Psychological thriller"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/05bh16v"": ""Courtroom Drama""}",Australia,Oceania
27,66,21235485,/m/05bzp6g,Mesmerized,1986-12-31,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03q4nz"": ""World cinema"", ""/m/09blyk"": ""Psychological thriller"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/05bh16v"": ""Courtroom Drama""}",New Zealand,Oceania
99,208,142911,/m/0120g4,Thunderbolt,1910-11-12,,33.0,{},"{""/m/02hmvc"": ""Short Film"", ""/m/0219x_"": ""Indie""}",Australia,Oceania
147,303,37067980,/m/0b_zwy4,The Lady from Peking,1975-11-13,,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama""}",Australia,Oceania
215,449,8637169,/m/027b_lp,Garage Days,2002-10-03,,105.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/04rlf"": ""Music""}",Australia,Oceania
215,449,8637169,/m/027b_lp,Garage Days,2002-10-03,,105.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0219x_"": ""Indie"", ""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/04rlf"": ""Music""}",New Zealand,Oceania
332,707,34866550,/m/0j45c3h,Charlie at the Sydney Show,1916-05-20,,25.0,{},"{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film""}",Australia,Oceania
363,788,12868752,/m/02x8n08,Futile Attraction,2005-10-06,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/0l4h_"": ""Mockumentary"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",Australia,Oceania
363,788,12868752,/m/02x8n08,Futile Attraction,2005-10-06,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/0l4h_"": ""Mockumentary"", ""/m/03q4nz"": ""World cinema"", ""/m/01z4y"": ""Comedy""}",New Zealand,Oceania
367,794,22342112,/m/05t022w,Petersen,1974-10-25,1363000.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama""}",Australia,Oceania
